Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Ashburton,61 Dent St,4,h,S,Marshall,3/9/2016,11,3147,4,3,2,753,399,2015,Boroondara City Council,-37.8669,145.0767,Southern Metropolitan,3052,Attached Garage,2650000
Ashburton,1 Wilgra Av,2,h,S,Marshall,3/9/2016,11,3147,,,,,inf,,Boroondara City Council,,,Southern Metropolitan,3052,Indoor,1820000
Ashwood,1/14 Eildon Rd,3,h,SP,Jellis,3/9/2016,12.2,3147,3,1,2,343,inf,1960,Monash City Council,-37.8623,145.1098,Southern Metropolitan,2894,Parkade,
Ashwood,18 Teck St,2,h,S,Tim,3/9/2016,12.2,3147,2,1,1,583,inf,1950,Monash City Council,-37.8693,145.1082,Southern Metropolitan,2894,Carport,995000
Avondale Heights,13 MacEy Av,4,h,S,Jellis,3/9/2016,10.5,3034,,,,,missing,,Moonee Valley City Council,,,Western Metropolitan,4502,Detached Garage,1310000
Avondale Heights,8 Norma Ct,3,h,S,Moonee,3/9/2016,10.5,3034,3,1,1,593,118,1970,Moonee Valley City Council,-37.7677,144.8674,Western Metropolitan,4502,Attached Garage,850000
Avondale Heights,9 Rogerson St,3,h,SP,Moonee,3/9/2016,10.5,3034,3,1,1,0,103,1980,Moonee Valley City Council,-37.7634,144.8611,Western Metropolitan,4502,Indoor,750000
Balaclava,18 Linton St,4,h,S,Gary,3/9/2016,6.6,3183,3,2,1,244,180,1900,Port Phillip City Council,-37.8668,144.9928,Southern Metropolitan,2952,Parkade,1819000
Balwyn,1/4 Glenluss St,3,t,S,Jellis,3/9/2016,9.7,3103,3,2,2,348,,,Boroondara City Council,-37.8053,145.0934,Southern Metropolitan,5682,Underground,
Balwyn,166 Gordon St,2,h,S,Marshall,3/9/2016,9.7,3103,2,1,1,659,123,1920,Boroondara City Council,-37.8094,145.0807,Southern Metropolitan,5682,Outdoor Stall,2100000
Balwyn,36 Narrak Rd,4,h,VB,Marshall,3/9/2016,9.7,3103,4,2,2,715,218,1985,Boroondara City Council,-37.811,145.0958,Southern Metropolitan,5682,Carport,1800000
Balwyn,2/16 Westminster St,2,t,S,Noel,3/9/2016,9.7,3103,2,1,1,208,129,2000,Boroondara City Council,-37.8128,145.0975,Southern Metropolitan,5682,Detached Garage,1255000
Balwyn North,3/41 Clifton St,3,t,S,hockingstuart,3/9/2016,9.2,3104,3,2,2,260,167,2000,Boroondara City Council,-37.7966,145.1021,Southern Metropolitan,7809,Attached Garage,1315000
Balwyn North,153 Doncaster Rd,3,h,PI,Jellis,3/9/2016,9.2,3104,3,2,1,778,154,1950,Boroondara City Council,-37.7939,145.0789,Southern Metropolitan,7809,Indoor,1500000
Balwyn North,19 Jacka St,4,h,S,Jellis,3/9/2016,9.2,3104,4,4,3,1135,275,1960,Boroondara City Council,-37.8014,145.0892,Southern Metropolitan,7809,Parkade,3230000
Balwyn North,32 Jaserfold St,2,h,S,Jellis,3/9/2016,9.2,3104,2,1,1,253,missing,,Boroondara City Council,-37.7912,145.085,Southern Metropolitan,7809,Carport,1080000
Balwyn North,2/5 Marwal Av,4,u,S,hockingstuart,3/9/2016,9.2,3104,,,,,missing,,Boroondara City Council,,,Southern Metropolitan,7809,Detached Garage,1450000
Balwyn North,32 Maylands Av,2,h,S,Fletchers,3/9/2016,9.2,3104,,,,,missing,,Boroondara City Council,,,Southern Metropolitan,7809,Attached Garage,1305000
Bentleigh,5/205 Centre Rd,2,u,S,hockingstuart,3/9/2016,13,3204,2,1,2,202,missing,1974,Glen Eira City Council,-37.9165,145.0259,Southern Metropolitan,6795,Indoor,636000
Bentleigh,22 Hobart St,2,h,S,Woodards,3/9/2016,13,3204,2,1,2,599,missing,,Glen Eira City Council,-37.925,145.046,Southern Metropolitan,6795,Parkade,1275000
Bentleigh,1/236 Patterson Rd,3,u,S,hockingstuart,3/9/2016,13,3204,3,1,2,348,121,1950,Glen Eira City Council,-37.9273,145.0479,Southern Metropolitan,6795,Carport,875000
Bentleigh,7a Porter Rd,4,t,S,hockingstuart,3/9/2016,13,3204,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795,Detached Garage,1230000
Bentleigh,2/531 South Rd,3,t,PI,Ray,3/9/2016,13,3204,3,2,2,362,,1997,Glen Eira City Council,-37.9336,145.043,Southern Metropolitan,6795,Attached Garage,895000
Bentleigh,1/28 Strathmore St,3,t,PI,C21,3/9/2016,13,3204,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795,Carport,1020000
Bentleigh East,9 Edinburgh St,3,h,SN,hockingstuart,3/9/2016,13.9,3165,3,1,2,590,146,1950,Glen Eira City Council,-37.9167,145.0684,Southern Metropolitan,10969,Detached Garage,
Bentleigh East,11a Latham St,4,t,S,hockingstuart,3/9/2016,13.9,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969,Attached Garage,
Bentleigh East,18 Mervin St,2,h,S,hockingstuart,3/9/2016,13.9,3165,2,1,2,768,,,Glen Eira City Council,-37.9305,145.0547,Southern Metropolitan,10969,Indoor,1410000
Bentleigh East,21b Northam Rd,3,t,S,Buxton,3/9/2016,13.9,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969,Parkade,990000
Bentleigh East,68 Pasadena Cr,3,h,S,Buxton,3/9/2016,13.9,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969,Underground,1057000
Bentleigh East,1/69 Purtell St,3,t,PI,hockingstuart,3/9/2016,13.9,3165,3,1,2,287,,,Glen Eira City Council,-37.9261,145.0566,Southern Metropolitan,10969,Outdoor Stall,760000
Bentleigh East,30 Veronica St,2,h,S,Buxton,3/9/2016,13.9,3165,2,2,1,176,125,2008,Glen Eira City Council,-37.9237,145.0763,Southern Metropolitan,10969,Carport,825000
Box Hill,32 Margaret St,4,h,S,hockingstuart,3/9/2016,13.1,3128,4,2,2,697,255,1940,Whitehorse City Council,-37.8151,145.135,Eastern Metropolitan,4605,Detached Garage,1620000
Braybrook,44 Carlton St,4,h,W,Sweeney,3/9/2016,10.8,3019,4,1,1,821,94,1950,Maribyrnong City Council,-37.7803,144.8478,Western Metropolitan,3589,Attached Garage,
Braybrook,132 Duke St,3,h,S,Barry,3/9/2016,10.8,3019,3,2,4,700,,,Maribyrnong City Council,-37.7824,144.8469,Western Metropolitan,3589,Indoor,870000
Braybrook,25 Lily St,2,h,S,Barry,3/9/2016,10.8,3019,2,1,1,566,75,1950,Maribyrnong City Council,-37.7839,144.8524,Western Metropolitan,3589,Carport,645000
Brighton,802 Hampton St,3,h,VB,Buxton,3/9/2016,11.2,3186,3,2,2,663,,1940,Bayside City Council,-37.9159,145.0068,Southern Metropolitan,10579,Detached Garage,1550000
Brighton,476 New St,4,h,S,Marshall,3/9/2016,11.2,3186,3,3,2,683,254,1915,Bayside City Council,-37.8931,144.9955,Southern Metropolitan,10579,Attached Garage,
Brighton,18 Rooding St,3,h,S,Buxton,3/9/2016,11.2,3186,3,1,2,366,156,1920,Bayside City Council,-37.9038,145.0001,Southern Metropolitan,10579,Indoor,1635000
Brighton East,38 Arnold Rd,5,h,S,Buxton,3/9/2016,10.7,3187,2,5,3,625,404,2015,Bayside City Council,-37.9285,145.024,Southern Metropolitan,6938,Parkade,
Brighton East,7 Balfour St,4,h,S,hockingstuart,3/9/2016,10.7,3187,4,2,2,682,240,1960,Bayside City Council,-37.9205,145.0122,Southern Metropolitan,6938,Carport,1940000
Brighton East,40 Camperdown St,4,h,S,Buxton,3/9/2016,10.7,3187,2,3,2,716,370,2015,Bayside City Council,-37.9181,145.0108,Southern Metropolitan,6938,Detached Garage,
Brighton East,4 Marriage Rd,4,h,S,Nick,3/9/2016,10.7,3187,4,2,2,617,268,1940,Bayside City Council,-37.9187,145.007,Southern Metropolitan,6938,Attached Garage,1850000
Brighton East,23 Rogers Av,2,h,S,Nick,3/9/2016,10.7,3187,,,,,,,Bayside City Council,,,Southern Metropolitan,6938,Indoor,1060000
Brighton East,214 South Rd,4,h,S,Buxton,3/9/2016,10.7,3187,3,2,2,904,202,1960,Bayside City Council,-37.9312,145.018,Southern Metropolitan,6938,Carport,
Brighton East,244a South Rd,3,h,SP,Marshall,3/9/2016,10.7,3187,3,1,1,329,117,1930,Bayside City Council,-37.9317,145.0218,Southern Metropolitan,6938,Detached Garage,930000
Brighton East,1 Sunnyside Av,5,h,S,Gary,3/9/2016,10.7,3187,,,,,,,Bayside City Council,,,Southern Metropolitan,6938,Attached Garage,1952000
Brighton East,246a Were St,3,h,SS,Marshall,3/9/2016,10.7,3187,3,2,2,329,203,1998,Bayside City Council,-37.9276,145.0155,Southern Metropolitan,6938,Indoor,
Brunswick,8/55 De Carle St,2,u,S,Brad,3/9/2016,5.2,3056,2,1,2,0,,1970,Moreland City Council,-37.7593,144.9652,Northern Metropolitan,11918,Parkade,428000
Brunswick,234 Victoria St,2,h,S,Nelson,3/9/2016,5.2,3056,2,1,0,225,108,1905,Moreland City Council,-37.7676,144.9665,Northern Metropolitan,11918,Underground,1026000
Brunswick West,8/7 Passfield St,2,u,S,Peter,3/9/2016,5.9,3055,2,1,1,0,69,1960,Moreland City Council,-37.768,144.9408,Northern Metropolitan,7082,Outdoor Stall,521500
Bulleen,19a Elizabeth St,3,u,S,Jellis,3/9/2016,11.8,3105,3,1,2,385,140,2000,Manningham City Council,-37.7599,145.0849,Eastern Metropolitan,4480,Parking Pad,851000
Bulleen,42 Robert St,4,h,S,Jellis,3/9/2016,11.8,3105,4,1,2,717,180,1960,Manningham City Council,-37.7608,145.0862,Eastern Metropolitan,4480,Carport,1300000
Bulleen,92 Swanston St,4,h,PI,Barry,3/9/2016,11.8,3105,3,2,2,562,,,Manningham City Council,-37.7628,145.0994,Eastern Metropolitan,4480,Detached Garage,1110000
Bulleen,25 William St,4,h,S,Jellis,3/9/2016,11.8,3105,4,2,2,556,214,1957,Manningham City Council,-37.7657,145.0957,Eastern Metropolitan,4480,Attached Garage,1235000
Burwood,15 Loudon Rd,5,h,S,Jellis,3/9/2016,11.7,3125,4,3,2,661,253,1940,Monash City Council,-37.848,145.098,Southern Metropolitan,5678,Indoor,1590000
Camberwell,28 Brinsley Rd,4,h,S,Jellis,3/9/2016,7.8,3124,4,2,1,652,189,1890,Boroondara City Council,-37.8286,145.0686,Southern Metropolitan,8920,Parkade,2650000
Camberwell,2/1 Glen Iris Rd,3,t,S,Marshall,3/9/2016,7.8,3124,3,1,2,389,,,Boroondara City Council,-37.8435,145.0695,Southern Metropolitan,8920,Underground,1615000
Camberwell,6 Kalang Rd,3,h,PN,Rayner,3/9/2016,7.8,3124,3,1,1,980,154,1930,Boroondara City Council,-37.8441,145.0775,Southern Metropolitan,8920,Outdoor Stall,
Camberwell,1288 Toorak Rd,4,h,SA,RT,3/9/2016,7.8,3124,4,3,2,934,,,Boroondara City Council,-37.8496,145.0869,Southern Metropolitan,8920,Parking Pad,3225000
Canterbury,18 Irilbarra Rd,4,h,S,Marshall,3/9/2016,9,3126,4,2,2,687,215,1935,Boroondara City Council,-37.8186,145.0706,Southern Metropolitan,3265,Carport,2950000
Canterbury,2a View St,3,h,SN,Kay,3/9/2016,9,3126,3,2,2,309,195,2004,Boroondara City Council,-37.8203,145.0764,Southern Metropolitan,3265,Detached Garage,
Carlton North,527 Nicholson St,3,h,VB,Nelson,3/9/2016,3.2,3054,3,1,1,314,,1900,Melbourne City Council,-37.7871,144.9766,Northern Metropolitan,3106,Attached Garage,1330000
Carnegie,1/60 Moonya Rd,3,u,S,Ray,3/9/2016,11.4,3163,3,1,2,0,96,1989,Glen Eira City Council,-37.897,145.0623,Southern Metropolitan,7822,Indoor,820000
Carnegie,1/70 Truganini Rd,2,t,S,Gary,3/9/2016,11.4,3163,2,2,1,133,104,2009,Glen Eira City Council,-37.8911,145.0539,Southern Metropolitan,7822,Parkade,795000
Caulfield,6/5 Freeman St,2,u,S,Gary,3/9/2016,8.9,3162,2,1,1,0,100,1960,Glen Eira City Council,-37.8865,145.0302,Southern Metropolitan,2379,Underground,722500
Caulfield North,14 Arthur St,3,h,S,McGrath,3/9/2016,8.1,3161,3,1,0,513,,,Glen Eira City Council,-37.8678,145.027,Southern Metropolitan,6923,Carport,1365000
Caulfield North,452 Dandenong Rd,3,h,S,Marshall,3/9/2016,8.1,3161,3,2,2,692,313,1955,Glen Eira City Council,-37.8629,145.019,Southern Metropolitan,6923,Detached Garage,1750000
Caulfield South,336 Bambra Rd,2,h,SN,Gary,3/9/2016,9.3,3162,,,,,,,Glen Eira City Council,-37.9001,145.0266,Southern Metropolitan,5051,Attached Garage,
Caulfield South,26 Flowers St,3,h,S,hockingstuart,3/9/2016,9.3,3162,3,2,2,357,144,1935,Glen Eira City Council,-37.8896,145.0307,Southern Metropolitan,5051,Indoor,1577500
Caulfield South,14 Latrobe St,4,h,S,Gary,3/9/2016,9.3,3162,,,,,,,Glen Eira City Council,,,Southern Metropolitan,5051,Parkade,1802000
Caulfield South,2/5 Moore St,3,h,SN,Gary,3/9/2016,9.3,3162,3,2,2,0,130,1993,Glen Eira City Council,-37.9018,145.0315,Southern Metropolitan,5051,Carport,
Chadstone,3/10 Euroka St,3,t,S,Buxton,3/9/2016,13.6,3148,3,2,1,182,,,Monash City Council,-37.8786,145.1015,Southern Metropolitan,3582,Detached Garage,752000
Chadstone,2/20 Hillcrest Av,2,u,S,Buxton,3/9/2016,13.6,3148,,,,,,,Monash City Council,,,Southern Metropolitan,3582,Attached Garage,670000
Clifton Hill,1/262 Alexandra Pde E,1,u,PI,Nelson,3/9/2016,3.4,3068,1,1,1,0,,,Yarra City Council,,,Northern Metropolitan,2954,Indoor,
Clifton Hill,60a Hodgkinson St,3,h,S,Nelson,3/9/2016,3.4,3068,3,2,0,187,,,Yarra City Council,-37.7902,144.9894,Northern Metropolitan,2954,Parkade,1270000
Coburg,1/13 Clarendon St,2,u,SN,Barry,3/9/2016,7.8,3058,2,1,1,0,64,1980,Darebin City Council,-37.7527,144.9522,Northern Metropolitan,11204,Underground,
Coburg,29 Molesworth St,2,h,SP,Brad,3/9/2016,7.8,3058,2,1,1,371,93,1930,Darebin City Council,-37.735,144.9589,Northern Metropolitan,11204,Outdoor Stall,850000
Coburg,71 Ohea St,3,h,SN,Barry,3/9/2016,7.8,3058,2,1,1,241,106,1950,Darebin City Council,-37.7372,144.9595,Northern Metropolitan,11204,Carport,
Coburg,39 Salisbury St,3,h,S,Raine,3/9/2016,7.8,3058,3,1,2,441,107,1920,Darebin City Council,-37.7448,144.9738,Northern Metropolitan,11204,Detached Garage,
Coburg,10 Shackell St,3,h,S,Nelson,3/9/2016,7.8,3058,2,1,1,286,110,1890,Darebin City Council,-37.7427,144.952,Northern Metropolitan,11204,Attached Garage,784000
Coburg North,17 Lorensen Av,3,h,S,Nelson,3/9/2016,9.2,3058,,,,,,,Darebin City Council,,,Northern Metropolitan,3445,Indoor,845000
Collingwood,69 Hotham St,2,t,S,Jellis,3/9/2016,1.6,3066,2,1,1,115,,,Yarra City Council,-37.7968,144.9891,Northern Metropolitan,4553,Parkade,750000
Collingwood,130 Keele St,2,h,S,LITTLE,3/9/2016,1.6,3066,2,1,1,178,70,1900,Yarra City Council,-37.7974,144.9915,Northern Metropolitan,4553,Carport,890000
Collingwood,10/79 Oxford St,2,u,S,Jellis,3/9/2016,1.6,3066,2,1,1,0,129,1900,Yarra City Council,-37.8042,144.9845,Northern Metropolitan,4553,Detached Garage,1260000
Collingwood,2/79 Oxford St,2,u,S,Nelson,3/9/2016,1.6,3066,2,1,1,2886,122,1830,Yarra City Council,-37.8042,144.9845,Northern Metropolitan,4553,Attached Garage,855000
Doncaster,329 George St,4,h,S,Barry,3/9/2016,13.9,3108,4,4,2,1157,,,Manningham City Council,-37.7779,145.127,Eastern Metropolitan,9028,Indoor,1924500
Doncaster,9 Lauer St,4,h,S,Barry,3/9/2016,13.9,3108,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028,Parkade,1416000
Doncaster,2/20 Wetherby Rd,2,u,S,Barry,3/9/2016,13.9,3108,2,1,1,65,,1975,Manningham City Council,-37.7887,145.1438,Eastern Metropolitan,9028,Carport,492500
Eaglemont,82 The Righi,3,h,SN,Miles,3/9/2016,10.3,3084,3,1,2,844,132,1930,Banyule City Council,-37.7626,145.057,Eastern Metropolitan,1651,Detached Garage,
Eaglemont,1 Warringal Pl,6,h,SN,Kay,3/9/2016,10.3,3084,,,,,,,Banyule City Council,,,Eastern Metropolitan,1651,Attached Garage,
Elsternwick,30 Ross St,2,h,VB,Gary,3/9/2016,8.5,3185,2,1,2,239,110,1940,Glen Eira City Council,-37.8845,144.999,Southern Metropolitan,4898,Carport,900000
Elwood,20 Coleridge St,5,h,S,Chisholm,3/9/2016,7.7,3184,5,2,2,395,229,1925,Port Phillip City Council,-37.8812,144.9928,Southern Metropolitan,8989,Detached Garage,
Elwood,8/44 Southey St,1,u,S,Chisholm,3/9/2016,7.7,3184,1,1,1,0,51,1930,Port Phillip City Council,-37.8761,144.9871,Southern Metropolitan,8989,Attached Garage,520000
Elwood,1/10 Wilton Gr,3,t,S,hockingstuart,3/9/2016,7.7,3184,3,2,2,1170,,,Port Phillip City Council,-37.8831,144.9801,Southern Metropolitan,8989,Indoor,1350000
Essendon,6 Buckley St,3,h,S,Jellis,3/9/2016,8,3040,3,2,2,684,147,1950,Moonee Valley City Council,-37.7585,144.9317,Western Metropolitan,9264,Parkade,1425000
Essendon,1/28 Gilbertson St,2,u,S,Barry,3/9/2016,8,3040,2,1,1,263,113,1980,Moonee Valley City Council,-37.7418,144.8977,Western Metropolitan,9264,Underground,660000
Essendon,3/85 Tennyson St,2,u,VB,Nelson,3/9/2016,8,3040,2,1,1,0,83,1980,Moonee Valley City Council,-37.7575,144.9298,Western Metropolitan,9264,Outdoor Stall,550000
Essendon North,2/17 Bulla Rd,2,u,S,Barry,3/9/2016,9.4,3041,2,1,1,0,56,1975,Moonee Valley City Council,-37.7428,144.9086,Western Metropolitan,1308,Carport,396000
Fairfield,150 Gillies St,3,h,VB,Jellis,3/9/2016,5.8,3078,3,2,0,327,144,1910,Darebin City Council,-37.7723,145.0179,Northern Metropolitan,2970,Detached Garage,1250000
Fairfield,46 Perry St,3,h,S,Nelson,3/9/2016,5.8,3078,3,1,1,480,,,Darebin City Council,-37.7778,145.0236,Northern Metropolitan,2970,Attached Garage,
Fitzroy,111 Cecil St,2,h,S,Nelson,3/9/2016,1.6,3065,2,1,0,128,,,Yarra City Council,-37.7941,144.9802,Northern Metropolitan,5825,Indoor,1000000
Fitzroy,3/18 Hanover St,3,h,S,Nelson,3/9/2016,1.6,3065,3,2,2,0,137,2004,Yarra City Council,-37.8029,144.975,Northern Metropolitan,5825,Carport,1252000
Fitzroy North,233/4 Bik La,2,u,SP,Woodards,3/9/2016,3.5,3068,2,2,1,4332,85,2010,Moreland City Council,-37.7846,144.9785,Northern Metropolitan,6244,Detached Garage,700000
Fitzroy North,470 Brunswick St,2,h,S,Woodards,3/9/2016,3.5,3068,2,1,0,104,70,1880,Moreland City Council,-37.7927,144.9796,Northern Metropolitan,6244,Attached Garage,860000
Fitzroy North,50 Freeman St,2,h,S,Nelson,3/9/2016,3.5,3068,2,1,0,107,64,1910,Moreland City Council,-37.7898,144.9794,Northern Metropolitan,6244,Indoor,870000
Fitzroy North,76 Newry St,2,h,S,Nelson,3/9/2016,3.5,3068,3,1,0,152,,,Moreland City Council,-37.791,144.9809,Northern Metropolitan,6244,Parkade,1116000
Fitzroy North,2 Pilkington St,4,h,VB,Nelson,3/9/2016,3.5,3068,4,2,1,266,175,1950,Moreland City Council,-37.7797,144.9861,Northern Metropolitan,6244,Carport,1450000
Fitzroy North,186 Queens Pde,2,t,S,Nelson,3/9/2016,3.5,3068,2,3,0,2778,3558,,Moreland City Council,-37.7903,144.9859,Northern Metropolitan,6244,Detached Garage,930000
Flemington,96 Bryant St,2,h,S,Nelson,3/9/2016,4.4,3031,2,1,1,168,,,Melbourne City Council,-37.7835,144.9339,Northern Metropolitan,3593,Attached Garage,865500
Flemington,34 Illawarra Rd,3,h,S,Nelson,3/9/2016,4.4,3031,3,1,2,255,117,1930,Melbourne City Council,-37.7847,144.9247,Northern Metropolitan,3593,Indoor,
Footscray,4/33 Ballarat Rd,3,t,S,Nelson,3/9/2016,6.4,3011,3,1,1,259,,,Maribyrnong City Council,-37.7955,144.9063,Western Metropolitan,7570,Carport,585000
Footscray,202/51 Gordon St,1,u,PI,Burnham,3/9/2016,6.4,3011,1,1,0,0,,2007,Maribyrnong City Council,-37.7911,144.89,Western Metropolitan,7570,Detached Garage,85000
Glen Iris,6 Beatrice St,3,h,S,hockingstuart,3/9/2016,9.2,3146,3,2,3,680,170,1935,Boroondara City Council,-37.854,145.0832,Southern Metropolitan,10412,Attached Garage,1735000
Glen Iris,4/28 Belmont Av N,2,u,VB,Noel,3/9/2016,9.2,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412,Indoor,490000
Glen Iris,57 Brandon St,2,h,S,Jellis,3/9/2016,9.2,3146,3,1,2,653,,,Boroondara City Council,-37.8573,145.077,Southern Metropolitan,10412,Parkade,1699000
Glen Iris,30 Howie St,3,t,SP,Marshall,3/9/2016,9.2,3146,3,3,2,605,259,1920,Boroondara City Council,-37.854,145.0733,Southern Metropolitan,10412,Underground,
Glen Iris,11 Vincent St,4,h,VB,Kay,3/9/2016,9.2,3146,4,3,2,856,265,1920,Boroondara City Council,-37.8628,145.0436,Southern Metropolitan,10412,Outdoor Stall,3400000
Glen Iris,2 Vincent St,5,h,PI,Abercromby's,3/9/2016,9.2,3146,4,3,2,919,353,1925,Boroondara City Council,-37.8637,145.0438,Southern Metropolitan,10412,Parking Pad,3730000
Glenroy,2/13 Becket St S,3,t,S,Stockdale,3/9/2016,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Carport,585000
Glenroy,89 John St,3,h,S,Ray,3/9/2016,13,3046,3,1,2,696,118,1960,Moreland City Council,-37.6972,144.9431,Northern Metropolitan,8870,Detached Garage,610000
Glenroy,1/83 Maude Av,3,t,VB,Brad,3/9/2016,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Attached Garage,480000
Glenroy,18 Pengana Av,3,h,S,Barry,3/9/2016,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Indoor,681500
Glenroy,52 Tarana Av,3,h,S,Nelson,3/9/2016,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Parkade,640000
Glenroy,11 Valley Cr,3,h,S,Eview,3/9/2016,13,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,8870,Underground,712000
Gowanbrae,1 Gowanbrae Dr,3,h,S,Nelson,3/9/2016,13.6,3043,3,2,2,608,138,2001,Moreland City Council,-37.709,144.8925,Western Metropolitan,1071,Outdoor Stall,631000
Gowanbrae,31 Seggan Cir,3,t,S,Nelson,3/9/2016,13.6,3043,3,2,1,149,19,2005,Moreland City Council,-37.7068,144.8963,Western Metropolitan,1071,Parking Pad,532000
Hadfield,20 Bedford St,3,h,PI,hockingstuart,3/9/2016,12.1,3046,3,1,2,597,116,1960,Moreland City Council,-37.711,144.9478,Northern Metropolitan,2606,Carport,605000
Hadfield,1/1 Lockley St,3,h,S,Stockdale,3/9/2016,12.1,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,2606,Detached Garage,570000
Hadfield,29 Sutherland St,3,h,SP,Brad,3/9/2016,12.1,3046,3,1,2,724,103,1970,Moreland City Council,-37.7076,144.9481,Northern Metropolitan,2606,Attached Garage,685500
Hampton,1/30 Grenville St,2,u,S,hockingstuart,3/9/2016,13.7,3188,2,1,1,228,87,1975,Bayside City Council,-37.9355,145.0008,Southern Metropolitan,5454,Indoor,895000
Hampton,6/334 Hampton St,2,u,S,Ray,3/9/2016,13.7,3188,2,1,1,0,74,1975,Bayside City Council,-37.9419,145.0019,Southern Metropolitan,5454,Parkade,587000
Hampton,38 Myrtle Rd,4,h,S,Nick,3/9/2016,13.7,3188,3,3,2,701,320,2015,Bayside City Council,-37.9419,145.0152,Southern Metropolitan,5454,Underground,2800000
Hampton,3/31 Thomas St,2,u,S,Buxton,3/9/2016,13.7,3188,2,1,1,832,,,Bayside City Council,-37.9387,145.0063,Southern Metropolitan,5454,Carport,720000
Hampton,36 Thomas St,4,h,S,hockingstuart,3/9/2016,13.7,3188,4,3,2,928,300,1904,Bayside City Council,-37.9389,145.0062,Southern Metropolitan,5454,Detached Garage,3250000
